職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
AI/大數據/機器學習 博士後研究員,國立交通大學_生科院生物科技學系,40000.0,經歷不拘,"【徵才條件】
1.	具資訊工程、生物資訊相關系所之博士畢業者。
2.	獨立研究與具備研究熱忱及具團隊合作。
3.	對AI、精準醫藥平台、機器學習、創業、與創新研究有熱情的您。
4.	擅長使用至少一種程式語言( 如:python、C\C++、PHP等，或AI開發相關套件:TensorFlow、Keras、PyTorch等)
5.	對AI平台開發有興趣者，具有AI平台開發經驗尤佳。
6.	具有創業意願，喜歡學習與創新。

【實驗室介紹】 
交通大學楊進木教授實驗室 [本研究團隊以計算結構藥物設計及計算結構系統生物為核心，結合化學、物理、統計、生物化學與臨床醫學為主軸，探討生命科學的基本問題，建立藥物－蛋白質－生化途徑－細胞行為(疾病機制)的關係，進而建立基礎研究-轉譯醫學-產業的連結。本團隊提出「智慧計算精準醫藥平台」獲得科技部「AI創新研究中心專案計畫」通過。本實驗室過去已開發至少10項以上核心技術及累積大量系統生物及結構生物知識庫並具多國發明專利，其中藥物篩選軟體GEMDOCK及iGEMDOCK 是計算藥物篩選領域中常被使用的軟體之一，同時此軟體也獲得國家新創獎。本團隊已與超過30 國內外實驗室進行合作研究，包含藥廠、教學醫院/醫學中心等，共15 個國家型機構。在產業上，本團隊於104年主持生技及醫藥服務平台於生技產品開發，並榮獲科技部「績優產學小聯盟」。]
參考相關網址:楊進木教授實驗室網址
http://bioxgem.life.nctu.edu.tw/bioxgem/index.php

【工作內容】 
1.	協助執行科技部「AI創新研究中心」研究計畫。
2.	協助開發「智慧計算精準醫藥平台」。
3.	工作項目包括資料分析、程式設計、整合測試之AI平台開發。
4.	協助督導研究計畫的執行。
5.	協助撰寫研究報告。

【工作職缺】 
博士後研究員1人

【徵才單位】 交通大學生資所楊進木教授「BioXGEM: 藥物設計與系統生物實驗室」",未填寫, C C++ Perl PHP Python 系統架構規劃 軟體程式設計,大專校院教育事業,0
大數據分析師/資料科學家,VoiceTube_紅點子科技股份有限公司,45000.0,2年以上,"1. 分析使用者學習偏好
2. 研究數據，提出以數據為根據的決策方向
3. 建置符合各種分析需求的 Data Pipeline
4. 參與各式資料產品的設計與開發（推薦系統、影片排序、影片趨勢分析、客戶行為分析） 
5. 製作分析與報表工具
6. 會寫SQL ，Python
7. 懂R語言 
",加分條件：1. 英語能力佳2. 語言相關產業工作經驗, Python MS SQL,其它軟體及網路相關業,2
大數據研究中心資料分析工程師,亞洲大學,40000.0,經歷不拘,"1.相關技術研究與計畫提案協助。
2.解決方案程式開發與系統介接。

待遇與福利:
1.基本薪資比照科技部規定（年資以及學歷)，並得依亞洲大學規定享有相關各項福利與產業計畫額外加給。
2.多項長期計畫經費和研究資源支持，跨校研究團隊實力堅強，參與重要研究領域之發展和產學合作計畫之歷練。",1.電腦能力:Database(Mysql)、C sharp、R-language2.熟供應鏈管理、作業研究、存貨管理者。3.熟悉C系列程式語言或R語言且具實際程式開發經驗者。 具備以下一種或多種相關專長者佳：1.實際操練過多種演算法經驗者。(基因演算法、粒子群演算法、模擬退火法、蟻群演算法…等)2.有解決方案系統模組開發經驗者。3.熟悉生產管理、醫院管理，有處理實務問題經驗者。,,大專校院教育事業,0
大數據分析工程師(深圳),臻鼎科技股份有限公司,40000.0,1年以上,"1.資料庫管理與應用
2.熟SQL能力(Oracle、MySQL、MSSQL...等)
3.具C#或Java程式應用能力
4.需具備以下任何一項之經驗
(1)數據採集
(2)數據分析
(3)大數據架構整合，開發與維運
(4)熟任何一款數據分析工具
5.專案管理、規劃與執行，新技術學習及導入(大數據、工業互聯網)",未填寫,,印刷電路板製造業(PCB),1
大數據/AI開發工程師- 208KC,萬寶華企業管理顧問股份有限公司,40000.0,5年以上,"1.負責大數據/深度學習應用設計與開發
2.使用者需求討論、設計大數據/AI 應用解決方案與技術實作
3.掌握大數據應用與AI Framework技術趨勢，據以提出創新解決方案

Please forward your C.V. to kelly.chen@manpowertw.com.tw","1. 熟悉AI Framework 如Tensorflow/caffe等，具3年以上相關經驗2. 熟悉自然語言多輪交互設計，具流程引擎開發或維護經驗3. 熟悉data services、micro services設計開發4. 熟悉Hadoop/Cloudera，具3年以上相關開發經驗5. 具Python, Machine Learning, Apache Spark, Sci-kit及敏捷(Agile)開發流程6. 工作積極主動、具有強烈的責任心、團隊合作與溝通能力，並對複雜業務邏輯能快速理解並轉化為技術需求。7. 具Hadoop相關證照尤佳。8. 熟悉AWS/GCP架構規劃及應用經驗尤佳",,人力仲介代徵,5
Big Data 大數據分析高級工程師,台泥企業團_臺泥資訊股份有限公司,40000.0,5年以上,"1. 生產品質、原料品質數據分析 
2. 設備故障前徵兆分析並做預警
3. 水泥廠中控室操窯紀錄分析
4. 其他大數據分析相關專案
5. 使用者需求訪談及系統分析 

","1. 資訊/統計/應用數學相關科系畢, 具大數據分析與統計分析經驗2. 善於處理大量的結構與非結構的資料 3. 熟悉RDBMS、SQL及使用R語言做資料分析4. 思考邏輯清晰、分析及表達能力強、個性主動積極、可獨立作業5. 懂機器學習或深度學習者更佳",,電腦及其週邊設備製造業,5
T3901 大數據資料科學家 經理,遠傳電信股份有限公司,40000.0,7年以上,"1.進行大數據平台架構設計、建置、管理、維運與問題解決。
2.進行大數據架構新技術探索及研究，提出合適的方案與建議。
3.規劃大數據相關專案，分配專案資源、溝通協調，確保專案成果與產出。
4.與事業單位合作，以資料科學角度提供專業服務，配合公司策略驅動業務發展。
5.帶領團隊成員進行大數據分析專案、以及機器學習服務應用發展，提升團隊分析與研究能力。","1.熟悉程式語言(Python, R)2.具備統計基礎知識(相關統計檢定使用時機等)3.瞭解machine learning 常用演算法並有實際應用經驗(Descision tree, Random Forests, SVM, KNN, Kmeans,…)4.具有text mining，data mining相關經驗5.具有基礎linux指令操作經驗6.對hadoop/Spark有基礎認識7.具專案管理，或資料分析專案管理經驗", Python R MySQL,電信相關業,7
人工智慧及大數據工程師,髮拉儷皮膚科診所,40000.0,經歷不拘,"1.負責人工智慧軟體之分析、設計以及程式撰寫。以大數據分析醫療成果。
2.規劃執行人工智慧軟體架構及模組之設計，並控管軟體設計進度。
3.進行人工智慧軟體之測試與修改。
4.規劃、執行與維護量產的產品。
5.協助研發軟體新技術與新工具。",未填寫,,診所,0
大數據分析工程師/資深資料庫管理師.,永慶房產集團_永慶房屋仲介股份有限公司,40000.0,3年以上,"永慶房產集團以科技房仲自許，用科技創新引領房仲變革，歡迎IT領域的優秀夥伴加入!

我們資訊團隊有創新的技術開發環境，鼓勵團隊成員持續學習、提升技能。夥伴們年輕、充滿活力，在活潑歡樂的工作氛圍下，彼此分享經驗一起成長。

我們提供高發展性的環境及完整的升遷制度，讓您盡情發揮專長!!

工作內容如下：

1. 管理集團資料庫(以 MS SQL 為主 )，包含 架構規劃建置、權限管理、使用空間、系統資源（CPU、Memory、IO）、效能調教...等，完成每季重點資料庫災害還原演練。

2. 熟悉公司資料流，匯整企業內部系統數據與外部來源數據，並依專案需求 建立資料倉儲。

3. 開發資料庫預存程序及數據處理程式，為公司經營團隊提供各式營運數據，以幫助決策支援。

4. 主動學習大數據相關新技術探索。",NA,,不動產經營業,3
大數據資料平台工程師(培育新鮮人),歐立威科技股份有限公司,28000.0,經歷不拘,"1.資料平台規劃與設計、單元測試、整合測試工作。 
2.SQL、NoSQL、MPP Database、Hadoop平台擇一熟悉為佳。 
3.結構化及非結構化資料處理與整合。 
4.協助資料研究及分析過程中需要的資料收集與處理。
5.了解或俱有程式開發經驗尤佳。",NA,,電腦軟體服務業,0
A1101 Big Data Analyst PM(大數據分析改善執行PM),微星科技股份有限公司,40000.0,10年以上,"透過資料探勘、分析、提出創新解決方案或專案規劃。
藉以改善流程、改善庫存、降低成本、提高客戶滿意。
不限產業經驗，但必須有實務經驗，並每年持續改善20%以上成功案例。
同時具備RMA管理專業與IT背景尤佳，若無RMA、IT背景，願意接受RMA、IT Skill培訓。",未填寫,,消費性電子產品製造業,1
大數據與AI人工智慧/專案工程師/PM,昱冠資訊股份有限公司,26000.0,經歷不拘,"昱冠資訊致力於協助客戶轉型成智慧工廠, 往工業4.0邁進. 
本公司產品具應用前瞻性, 歡迎您成為昱冠資訊的最前線!!! 
本公司大數據智慧系統應用領域主要分: 安全監控/產品外觀檢查/維修預測保養. 
應用場域包含: 半導體業/製造業/傳統加工業/機械業/醫療...等, 但不侷限在這些領域. 

本職缺主要工作內容：

1. 執行專案工程之規劃、進度管控及協調、人力安排、客戶協調、問題應變及解決。 
2. 按時完成發開驗收及交付客戶。 
3. 主管交辦之事宜。
",1.	有軟體開發經驗者佳2.	接觸過程式語言佳(JavaScript、Python尤佳)3.	畢業科系為理工相關學系、商/管相關學系。4.	歡迎對於軟體有興趣之管理背景人才 或 對於管理有興趣之工程背景人才5.	擅長團隊合作與溝通6.     有敏捷開發經驗者佳 / 熟悉git佳 Skills 1.具備良好之溝通及協調能力，擔任專案窗口管理工作進度及成果。 2.具備獨立思考及良好之寫作能力，以利達成及提升計畫及公司要求之文件品質。 3.個性細心、謹慎且具勇於自我挑戰之工作態度，完成計畫及交付之工作。4.具組織性、擅長發現問題與找到解決辦法,,電腦軟體服務業,0
大數據軟體工程師 (月薪8萬-20萬),美商視龍有限公司台灣分公司,80000.0,經歷不拘,"Advanced Programming for Cloud Computing (月薪7萬-16萬)
Build Big Data Analytics Solution
大數據分析",未填寫, C++ Java JavaScript 軟體程式設計 網路程式設計,網際網路相關業,0
I02-產線大數據處理分析主管(台北/龍華),鴻海精密工業股份有限公司,40000.0,5年以上,"1. 收集生產線數據（生產機台數據、製造業資訊系統數據、檢測機台數據 等），使用自動化工具（ex:Nifi）、撰寫程式（呼叫API）、撈取資料庫 等方式
2. 使用ETL手法處理資料，包含 資料儲存、資料正規化、補缺值、清整、基本運算、初階統計分析 等
3. 配合 Data Scientist 做資料前置處理（進行 Machine Learning、Deep Learning 模型開發）
4. 運用於 產線良率分析、root cause 分析、維修預測、品質診斷 等",1. 熟悉機台PLC控制系統2. 熟悉 Python、C 程式語言3. 熟悉 ETL 資料處理手法4. 熟悉 跨系統資料交換 方式5. 有 Hadoop、Spark 開發經驗尤佳,,消費性電子產品製造業,5
I02-資深大數據分析工程師(台北/龍華),鴻海精密工業股份有限公司,40000.0,3年以上,"1. 大數據問題 發覺/定義
2. 案例資料收集
3. 辨識/預測 模型開發
4. 應用開發與上線優化",1. 軟體程式開發2. 機器學習,,消費性電子產品製造業,3
【AI】CAA資深大數據開發工程師（深圳）,鴻海精密工業股份有限公司,40000.0,8年以上,"1.設備智能化整合應用
2.智能製造設計規劃及推廣
3.大數據蒐集舆维運框架及改善对策",1. 智能設備、硬件2. 智能大數據4. 智能系統或設備整合推動經驗5. 大數據基礎架構及資料庫建置與維護經驗,,消費性電子產品製造業,8
【AI】CAA資深大數據開發工程師（鄭州）,鴻海精密工業股份有限公司,40000.0,8年以上,"1.大數據軟體平台及技術開發
2.大數據供應商技術評估與導入
3.大數據關鍵技術整合與建置
4.大數據相關營業秘密、專利技術研發
5.先進製程控制演算法開發","1.計算機/軟件/自動化相關專業，至少5年以上工作經驗2.熟悉Spark,theano,hadoop等組件的工作原理，瞭解hadoop生態系統及維護3.對基於hadoop的大數據處理體系有深入認識，熟悉分佈式系統設計原理4.精通一門以上腳本語言（C# JAVA PYTHON)5.熟悉SQL6.有較強的LINUX系統操作能力，有SHELL等腳本編寫經驗7.熟悉SPARK STREAMING/STORM流式處理，有相關開發經驗者優先8.主動性強，具有良好的溝通、協調和組織能力，富有團隊精神，有較強文檔編寫能力",,消費性電子產品製造業,8
10R0 大數據中心-副研究員/助理研究員,中國醫藥大學附設醫院,40000.0,2年以上,"1.	利用大數據的分析工具，進行各部科(室)之資料庫建立、管理與整合
2.	研發物聯網所需之軟硬體技術
3.	建立資料庫平台優化跨部(科)合作
4.	院外官方開放資料庫的擷取及演算
5.	其他臨時交辦事項",1.具資料探勘、雲端運算、生物資訊分析能力。,,醫院,2
大數據分析工程師/資深資料庫管理師,好房國際股份有限公司,40000.0,3年以上,"以科技房仲自許，用科技創新引領房仲變革，歡迎IT領域的優秀夥伴加入!

我們資訊團隊有創新的技術開發環境，鼓勵團隊成員持續學習、提升技能。夥伴們年輕、充滿活力，在活潑歡樂的工作氛圍下，彼此分享經驗一起成長。

我們提供高發展性的環境及完整的升遷制度，讓您盡情發揮專長!!

工作內容如下：

1. 管理集團資料庫(以 MS SQL 為主 )，包含 架構規劃建置、權限管理、使用空間、系統資源（CPU、Memory、IO）、效能調教...等，完成每季重點資料庫災害還原演練。

2. 熟悉公司資料流，匯整企業內部系統數據與外部來源數據，並依專案需求 建立資料倉儲。

3. 開發資料庫預存程序及數據處理程式，為公司經營團隊提供各式營運數據，以幫助決策支援。

4. 主動學習大數據相關新技術探索。

所需技能:

1. 熟悉 MS SQL、MySQL 管理技能，具備DB Cluster實作經驗。
2. 熟悉 T-SQL、SP 語法。與RD合作, 進行DB操作處理. 
3. 有 MongoDB 使用經驗者尤佳。



只要您是大專以上，科系不拘，具備 3 年以上工作經驗，對大數據有興趣，喜歡團隊討論及合作工作模式，期待您加入!

加入我們，您可享有：
-免費企業按摩師服務，生活好放鬆
-部門聚餐津貼，吃吃喝喝感情更好
-員工旅遊，行萬里路增見聞
-生日津貼、三節禮金／禮券，足甘心
-專屬員工免費Coffee 喝到飽
-不定期免費包場電影，生活好愜意
-團購、下午茶，調劑身心真抒壓
-內部教育訓練，共享成長
-升遷制度透明又完整
-工作免制服，天天都是便服日
-注重生活與工作的平衡，聰明工作、健康生活
-各領域書籍讀物區、交通方便的地點",未填寫,,不動產經營業,3
AA180108-雲端大數據解決方案規劃與行銷專員,緯創資通股份有限公司,30000.0,3年以上,"1. 與技術團隊合作，規劃大數據服務的產業應用情境與解決方案
2. 參與策略性客戶專案，了解客戶需求並複製成功經驗
3. 與行銷團隊合作，規劃大數據服務的市場推廣策略
4. 大數據服務的銷售與行銷文件內容撰寫 (e.g. sales kit, brochure, etc.)
5. 異業合作洽談
",1. 需具B2B產品規劃與行銷經驗，有雲端產品相關經驗者佳2. 需對IoT / 機器學習 / 深度學習具基本了解3. 熟悉製造業或醫療照護產業者佳4. 溝通能力強，具跨部門協調規劃能力,,電腦及其週邊設備製造業,3
高雄軟體園區- 大數據平台整合資深工程師,鴻海精密工業股份有限公司,40000.0,4年以上,"1. Integrate and develop machine learning/mining modules.
2. Plan data analysis flow based on customer requirement.
3. Familiar with SAS, R, Matlab, Python, H2O, SparkML, …

1. 整合和開發機器學習相關模組。
2. 根據客戶需求，規劃資料分析流程。
3. 熟悉相關分析元件 (SAS, R, Matlab, Python, H2O, SparkML, …)。","1. Python, R, SQL2. SparkML, TensorFlow, Caffe, CNTK, MxNet, ...3. Machine Learning Algorithm4. Data Mining Algorithm",,消費性電子產品製造業,4
高雄軟體園區- 大數據平台開發工程師,鴻海精密工業股份有限公司,40000.0,2年以上,"1. Develop Cluster Deployment/Management/Monitor Modules
2. Big Data Platform Operation (Hadoop, Spark, HBase, ...)
3. Support Customer to Maintain Big Data Platform

1. 開發叢集佈署、管理和監控模組。
2. 熟悉大數據平台元件操作 (Hadoop, Spark, HBase, ...)。
3. 支援客戶進行大數據平台維運。","1. Linux, Network architecture2. Python, Django, SQL3. Hadoop, Spark, HBase, Hive, …",,消費性電子產品製造業,2
電力系統/大數據工程師 ( 待優面議 ) 台北,大木系統有限公司,40000.0,經歷不拘,"•	加入並增強美商大木系統有限公司開發團隊
•	推進創新及工程標準
•	設計, 開發, 測試, 整合, 維護及強化軟體解決方案
•	大數據及人工智能設計與開發
•	熟電力系統知識, 掌握電腦軟體開發能力
•	待遇優, 薪資9萬以上 + 獎金
","全職: 每週工作40小時任職起始: 2018冬天工作地點: 台北市應徵資格: 擁有博士學位且對電力系統/大數據/人工智能有強烈興趣者* 對C/C++ , C#, Python, Java語言編碼掌握熟練技巧者尤佳* 熟悉MatLab應用尤佳* 熟悉大數據/人工智能軟體應用尤佳", C C# C++ Java Matlab Python 軟體工程系統開發 軟體程式設計 結構化程式設計,電腦軟體服務業,0
【AI 】CAA 製造工程 大數據分析工程師 (深圳),鴻海精密工業股份有限公司,40000.0,3年以上,"1.高階數據分析方法導入工程分析應用，協助縮短製程開發時間，效率與良率提升
2.製程大數據蒐集與框架維運，分析模型建構、維護與調校
3.國內外資料探勘與機器學習文獻報告之蒐集整理與應用規劃",1.熟悉統計學/資料探勘/機器學習相關知識2.2年以上製造業數據收集/分析/判斷/預測之數理模型建構經驗3.2年以上數據分析軟件/平台(如R/Python/Matlab...)或可視軟件應用經驗4.具有較強的邏輯能思維能力、良好溝通和文檔製作能力, Matlab Python R,消費性電子產品製造業,3
I02-資深大數據開發工程師(台北/龍華),鴻海精密工業股份有限公司,40000.0,3年以上,"1. 大數據底層平台開發                             
2. 大量非結構化數據收集處理儲存                              
3. 大數據系統前後端對端串聯",1. 軟體程式開發,,消費性電子產品製造業,3
電子代工大廠 大數據系統分析師 (台中),萬寶華企業管理顧問股份有限公司,40000.0,4年以上,"*  全球第三大電子代工廠擴編職位, 主要負責廠端資訊系統分析及開發
- 人才所需條件:   (月薪45k to 60k x 13個月+KPI bonus)
1.大學資訊工程相關科系畢, 具4年以上相關工作經驗
2. 具備大數據分析相關工作經驗者優先
3. 具備工廠資訊系統開發經驗者優先
4. 熟悉關聯式資料庫語法與操作(MS SQL Server)
5. 熟Java、Java Script, ASP.Net/C#, MVC 架構者佳
6. 具備ETL、Data analysis、Data mining經驗者佳
7. 需配合專案出差, 2個月一次, 一次為期1-2週",未填寫,,人力仲介代徵,4
【管理】資訊工程師/主管  (大數據),宏致電子股份有限公司,40000.0,4年以上,"- 工業4.0 未來趨勢，研究IoT與雲端開發與大數據應用，深度了解資料儲存與訊息溝通
- 影像處理與光學檢查技術 
- 垂直整合完整的工廠流程 
- 實現工廠自動化 
- 開發生產管理系統，結合大數據，邁向智慧製造 

【工作內容】
1. Web程式開發（前端、後端、資料庫） 
2. Delivering a complete front end application 
3. Ensuring high performance on mobile and desktop 
4. MES webpage development 
5. Manufacturing web-tool development",1.有大數據、雲端經驗與背景者佳2.有電子產業經驗者佳3.有工業4.0經驗者佳,,其他電子零組件相關業,4
T3901 大數據服務應用資深工程師(內湖),遠傳電信股份有限公司,40000.0,3年以上,"1. 進行大數據應用服務開發與視覺化報表服務。
2. 與BU單位共同規劃資料服務，並進行資料變現服務產出。
3. 發展NRT相關情境之應用服務。
4. 上網行為與LBS相關數據應用研發(視覺化與前端互動呈現)。
5. 數據應用系統服務介接開發、設計、測試與維運。","工具與技能需求:1. 熟悉程式語言(Python or Java)2. 具備資料清洗，轉換能力(SQL, Python)3. 具備linux指令操作經驗4. 具備撰寫Web/API應用程式能力經驗(node.js / Web App/ D3.js..等)5. 具備hadoop/Spark使用與整合經驗相關經驗需求:1. 開發應用系統之服務經驗2. 大數據處理與分析經驗3. 建置大數據平台經驗4. 對用戶分群與標籤管理具有經驗者尤佳", Python R,電信相關業,3
【 2018軟體技術人才招募】大數據工程師,緯創軟體股份有限公司,40000.0,2年以上,"【２年以上軟體相關經驗者，歡迎投遞！】資格不符者，恕不另行通知，謝謝!
緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。
● 主要專案有：(1)銀行/保險/證券業系統開發、(2) 半導體/面板/電子產業相關系統開發、(3)通訊業系統開發、(4) 資安系統開發、(5)其他新技術應用開發, 如Machine Learning, Big Data…等。
● 歡迎有任一產業經驗的軟體工程師與程式設計師加入我們。資深者佳。
● 因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會。

1.因應客戶需求做大數據蒐集、分析與開發
2.將資料視覺化, 程式設計, 工商業邏輯分析判讀.
3.依據分析結果提出優化給善方案.
4.主要技術: Hadoop/R/Python.",未填寫, Java ETL MS SQL,電腦軟體服務業,2
【IBDO】數據通訊工程師 - 工業大數據辦公室,鴻海精密工業股份有限公司,40000.0,2年以上,"1. 負責蒐集與整合生產/製程/物聯網大數據 
2. 負責數據資料的採集、清洗與轉換 
3. 主要技術以C/C++/Java/SQL/Hadoop/R/Python為主",熟悉C/C++/Java/SQL/Hadoop/R/Python,,消費性電子產品製造業,2
【IBDO】數據採集工程師 - 工業大數據辦公室,鴻海精密工業股份有限公司,40000.0,2年以上,"1.機器學習演算法開發與應用
2.振動噪音分析與檢測 
3.資料分析與訊號處理",熟悉C/C++/Python/Java/R/SQL,,消費性電子產品製造業,2
【IBDO】信號處理工程師 - 工業大數據辦公室,鴻海精密工業股份有限公司,40000.0,2年以上,"1.負責物聯網通訊協定開發與應用 
2.負責工業控制通訊協定開發與應用 
3.進行先進工業控制技術研究 
4. 進行感測器硬體開發(包含嵌入式感測器) 
5. 負責資料擷取(DAQ)設備的整合與設定調整
6. 進行感測器應用系統開發(軟體)",熟悉R/SQL, C C++ Java Python 數位通訊技術訊號處理 功能測試(function test) 問題追蹤處理(Bug tracking) 軟體整合測試 硬體整合測試 軟體程式設計 資料庫系統管理維護 資料庫程式設計 資料庫軟體應用,消費性電子產品製造業,2
【IBDO】平臺技術工程師- 工業大數據辦公室,鴻海精密工業股份有限公司,40000.0,2年以上,"專業背景：
-熟悉資料處理相關語言如 Python/R, SQL/Hive, Shell script 
-熟悉搭建、使用 Apache大數據工具 (Kafka, Spark, Hive, Spark, Spark-streaming)
-熟悉至少一種 SQL & NoSQL 資料庫操作及運作原理
-熟悉ELK stack，理解其工作原理
產業經驗：
-熟悉數據分析與統計 加分
-能以資料協助業務發展，使業務流程導入data-driven 者 加分
-熟悉數據治理視覺化工具(NiFi, StreamSets, Airflow) 加分
-熟悉 Real-time data API 與 BI (ex: tableau、Power BI)串接者 加分
工作職責
-整合大數據工具及架構以符合各類需求
-監控、維護及改進平台架構及效能
-設計及實作不同數據ETL流程
-制定數據維護及保留策略
-製作定期報表以及系統即時狀態儀表板","R, Hadoop, python, spark, SQL, C/C++", R Python C C++,消費性電子產品製造業,2
【IBDO】平臺技術工程主管 - 工業大數據辦公室,鴻海精密工業股份有限公司,40000.0,5年以上,"專業背景：
-熟悉資料處理相關語言如 Python/R, SQL/Hive, Shell script 
-熟悉搭建、使用 Apache大數據工具 (Kafka, Spark, Hive, Spark, Spark-streaming)
-熟悉至少一種 SQL & NoSQL 資料庫操作及運作原理
-熟悉ELK stack，理解其工作原理
產業經驗：
-熟悉數據分析與統計 加分
-能以資料協助業務發展，使業務流程導入data-driven 者 加分
-熟悉數據治理視覺化工具(NiFi, StreamSets, Airflow) 加分
-熟悉 Real-time data API 與 BI (ex: tableau、Power BI)串接者 加分
工作職責
-整合大數據工具及架構以符合各類需求
-監控、維護及改進平台架構及效能
-設計及實作不同數據ETL流程
-制定數據維護及保留策略
-製作定期報表以及系統即時狀態儀表板","R, Hadoop, python, spark, SQL, C/C++", C C++ Python R,消費性電子產品製造業,5
工業4.0 大數據與生產模擬高階研發人才,皮托科技股份有限公司,60000.0,經歷不拘,"工業4.0 Digital Twin數位分生:模擬技術研究與支持
產線大數據分析和技術支援
整合應用研究
產學合作服務
有強烈學習意願和勇於面對挑戰",具程式語言背景優先考慮,,電腦系統整合服務業,0
大數據工程師(歡迎到菲律賓展開精采的海外人生),"Blue Coast Global Technology, INC.",40000.0,5年以上,"1.主導公司內部私人雲端的架構方案選型和建設
2.主導公司內部線上日誌的匯總，以及海量日誌的分析。",1. 5年以上大資料開發和管理經驗。2. 有較強的架構能力，能獨立負責產品的架構規劃和架構演進。3. 熟悉主流的分散式存儲方案 (ceph Torus GlusterFS 等)。4. 熟悉 coreos+kubernetes，centos+mesos的docker架構方案，能夠獨立主導架構的搭建和演練。5. 熟悉 hadoop，storm，spark，kafka，Flink等分散式系統的工作原理，具備較強的架構，性能優化能力！6. 有主導完成優秀應用或大型資料項目目開發經驗者優先。7. 具有良好的團隊協作能力和溝通能力。,,電腦系統整合服務業,5
遠東新世紀/越南(紡纖)織染/大數據分析師(派駐越南),遠東新世紀股份有限公司,40000.0,1年以上,"1. 邏輯清晰的溝通表達能力，有創新精神，樂於接受挑戰。
2. 擅於規劃及參與design，熟一門或多門開發語言 (R, Lingo, C#, Java, Python, C++等)，熟演算法和資料結構，組織交流分享促進團隊共同進步。
3. 運用資料採擷/機器學習的理論和方法，深入挖掘和分析海量生產資料產生回饋對策。
4. 包括但不限於建模、分析、預測等，為全公司各業務(EX:銷售/採購/生產/品質/倉儲/客服等)提供支持。
5. 不斷完善和優化演算法，以技術驅動公司品質和效率提升。
6. 相關系統支援",1.熟習MS Office、SQL、R或SAS，且具模型建立能力者佳2.2年以上程式撰寫與數據分析經驗3.良好溝通協調與問題發掘的能力4.邏輯清晰並有良好的表達能力5.喜歡團隊合作，具抗壓力6.擅於規劃、有創意者佳, C C# Java Visual Basic .net MS SQL MySQL Excel Outlook Word,紡織成衣業,1
晶片設計工程師 - 大數據智慧硬體 Big Data/Intelligence IC Designer,偉薩科技有限公司,40000.0,經歷不拘,"* Designs and developes RTL for Big Data platform.
* Defines and documents RTL changes required for emulation/FPGA. 
* Tests and debugs the emulation/FPGA model and collaterals. 
* Develops new improvements by RTL validation and debugging on the emulation platform.

*You will join a growing team of IC design engineering professionals 
and have a real opportunity to have your hardware solutions embraced and
to demonstrate your coaching and mentoring skills.

*There is enormous potential for you to carve out a long term career 
path within this market leading organization where you will have an 
access to the latest kit and work in an established, happy and sizable 
team of developers.

*This position would suit an experienced engineer with a positive and
people focused approach to tasks who can encourage and help lead other 
engineers through development work and code reviews.

*An element of this position will involve interfacing with product management and solution architecture departments.
","Must Have: * CS, EE or related Bachelor or Master degree* Verilog/System Verilog/VHDL coding experience * Enthusiastic about working in a growing startup company Nice to have: * Altera or Xilinx FPGA design background * OpenCL* Real time C/C++ development and debug tools * Extensive synthesis and simulation skills with professional grade tools * Proficient at debug of high speed logic designs using sophisticated test equipment * QPI/PCIe/CAPI/CCIX/Gen-Z knowledge * Knowledge of ASIC design * Knowledge of CPU/GPU/DDR/SAS/SATA technology * Python script development experience * Exposure to revision control systems * Excellent written and verbal communication skills * Big data or Hadoop/Spark knowledge",,電腦軟體服務業,0
大數據客戶 保險數位電銷專員 均收4萬 無經驗可 HH,全球人事顧問股份有限公司,35000.0,經歷不拘,"還停留在過往打來煩人的電話行銷?

數位名單，不再叨擾
經由數位金融統計的Big Data名單
意願百分比精準鎖定""高度意願""

☑公司提供有意願客戶名單，不害怕被拒絕，更不用陌生開發
☑沒經驗沒關係，完整教育訓練，讓你擁有一技之長
☑在職培訓課程提升個人業務能力，對產品能深入了解
☑保障底薪(不倒扣)+無上限獎金(每月薪獎合計約3萬以上，平均月入4-5萬)

✍ 上班時間 & 休假制度
1.上班時間: 09：00～18：00。
2.休假制度: 週休二日 (見紅就休)。
3.額外福利: 年終
4.首年年假 10天（試用期過後依比例發放）
5.正式員工福利(兩次國內外旅遊、尾牙、健康檢查、按摩服務)

迎接數位新零售!",未填寫,,人力仲介代徵,0
台北地區大數據應用需求 - 資料工程師 (Data Engineer) [210-VL],萬寶華企業管理顧問股份有限公司,40000.0,2年以上,"關於資料工程師 (Data Engineer):
1. 熟悉建構不同的資料來源
2. 熟悉建構ETL流程
3. 熟悉資料處理語言: R、Python、SQL
4. 對巨量資料處理、建構有強烈熱情

需求產業: 純軟產業、新能源製造、大型電商平台、供應鏈平台、銀行產業等。",未填寫,,人力仲介代徵,2
